ID;Spalte1;Haupteintrag;Nr;Funktion;Inhalt;Zusatz;Typ2
p02799;;Gualcher, Elekt von Cambrai;337;;Gualcher, Elekt von Cambrai;Cambrai;t:persName
p02800;Gualter, Archidiakon in Thérouanne;Gualter;416;Empfänger;Gu(alter);;t:persName
p02801;;Guarin, Abt von Pontigny;810;;Abt (Guarin) von Pontigny;Pontigny;t:persName
;;;687;;Jean de Monchecourt (ibid.);Monchecourt (ibid.);t:persName
;;;720;;Jean de Monchecourt (ibid.);Monchecourt (ibid.);t:persName
p02802;;Guarinfrid, Erzpriester;363;;Erzpriester Guarinfrid;;t:persName
o03964;;Jerusalem;545;Ort;Jerusalem;Jerusalem;t:placeName
;;;683;Ort;Jerusalem;Jerusalem;t:placeName
;;;689;Ort;Jerusalem;Jerusalem;t:placeName
;;;706;Ort;Jerusalem;Jerusalem;t:placeName
;;;766;Ort;Jerusalem;Jerusalem;t:placeName
;;;1067;Ort;Jerusalem;Jerusalem;t:placeName
p02803;;Guarinus de Cherchi;990;;Guarinus de Cherchi;Cherchi;t:persName
p02804;;Guarmund, Erzbischof von Vienne;294;;G(uarmund), der Erzbischof von Vienne;Vienne;t:persName
p02805;;Guericus, Neffe;986;;Neffe Guericus;;t:persName
p02806;;Guermond oder Gui II. von Châtillon-sur-Marne, arr. Reims, Marne;714;;G(uermond oder Gui II.?) von Châtillon(-sur-Marne, arr. Reims, Marne);Châtillon(-sur-Marne, arr. Reims, Marne);t:persName
p02807;;Gui, Bischof von Châlons;959;;Bischof (Gui von Châlons;Châlons;t:persName
p02810;Gui II., Bischof von Châlons-en-Champagne;Gui, Bischof von Châlons-en-Champagne;460;Aussteller;Gui, Bischof von Châlons-en-Champagne;Châlons-en-Champagne;t:persName
p02830;;Guiardus, Schwiegervater;825;;Schwiegervater Guiardus;;t:persName
p02831;;Guichard, Erzbischof von Lyon;646;;G(uichard), den Erzbischof von Lyon;Lyon;t:persName
;;;95;Empfänger;Johannes;;t:persName
;;;733;;J(ohannes);;t:persName
;;;736;;Johannes;;t:persName
p02832;;Guid.;765;;Guid.;;t:persName
p02833;;Gui de Bazoches;1006;;Gui de Bazoches;Bazoches;t:persName
;;;1071;;Abt Johannes;;t:persName
;;;1114;;Abt (Johannes);;t:persName
p02834;;Gui de Chermizy-Ailles, c. Craonne, ibid.;735;;Gui de Chermizy(-Ailles, c. Craonne, ibid.);Chermizy(-Ailles, c. Craonne, ibid.);t:persName
p02835;;Gui de Joinville, Bischof von Châlons-en-Champagne;1006;;Bischofs (Gui de Joinville;Joinville;t:persName
p02841;;Guido, Abt von Saint-Jean-des-Vignes;490;;Guido, Abt von Saint-Jean-des-Vignes;Saint-Jean-des-Vignes;t:persName
p02842;;Guido, Abt von Saint-Nicaise vor Reims;353;;Abt (Guido?) von Saint-Nicaise vor Reims;Saint-Nicaise vor Reims;t:persName
p02843;;Guido, Archidiakon;288;;Archidiakon G(uido);;t:persName
p02844;;Guido, Bischof von Amiens;245;;Guido, Bischof von Amiens;Amiens;t:persName
;;;716;;);;t:persName
p02848;;Guido, Bischof von Beauvais;248;;Bischof (Guido) von Beauvais;Beauvais;t:persName
;;;95;Empfänger;Bischöfen Johannes;;t:persName
;;;416;Empfänger;Bischof J(ohannes);;t:persName
p02849;Gui III. von Joinville, Bischof von Châlons-en-Champagne;Guido, Bischof von Châlons-en-Champagne;835;Empfänger;(Guido), Bischof von Châlons-en-Champagne;Châlons-en-Champagne;t:persName
;;;1128;Empfänger;Johannes, Bischof von Cambrai;Cambrai;t:persName
p02855;;Guido, Erzbischof von Sens;1044;;(Guido), Erzbischof von Sens;Sens;t:persName
p02857;;Guido, Sohn des Seneschalls;842;;Guido, den Sohn des Seneschalls;;t:persName
p02858;;Guido, Überbringer;778;;Überbringer Guido;;t:persName
p02859;;Guido de Bazoches;1006;;Guido de Bazoches;Bazoches;t:persName
p02860;;Guido de Mahone, Praeceptor der Johanniter hospitalis;732;;G(uido de Mahone), Praeceptor der Johanniter (hospitalis);Johanniter (hospitalis);t:persName
;;;966;;Klerikers Johannes;;t:persName
p02861;;Guido dEppes c. et arr. Laon, Aisne;787;;Guido d’Eppes (c. et arr. Laon, Aisne);d’Eppes (c. et arr. Laon, Aisne);t:persName
p02862;;Guido II. von Châtillon-sur-Marne, arr. Reims;564;;Guido (II.) von Châtillon(-sur-Marne, arr. Reims);Châtillon(-sur-Marne, arr. Reims);t:persName
p02864;;Guido oder Guarinus, Archidiakon von Reims;290;;Archidiakon G(uido oder Guarinus) von Reims;Reims;t:persName
p02865;;Guido von Châlons;471;;G(uido) von Châlons;Châlons;t:persName
p02866;;Guido von Joinville, Elekt von Châlons-en-Champagne;581;;Guido von Joinville, Elekt von Châlons-en-Champagne;Châlons-en-Champagne;t:persName
p02867;Guido, Erzbischof von Lyon;Guido von Lyon;166;Empfänger;Guido von Lyon;Lyon;t:persName
p02868;;Guilbert, Bischof von Beauvais;235;;Bischof (Guilbert) von Beauvais;Beauvais;t:persName
p02869;;Guilelmus, Diözesane;837;;Diözesanen Guil(elmus);;t:persName
p02870;;Guillaume, Châtellain von Saint-Omer Pas-de-Calais;931;;Guillaume, Châtellain von Saint-Omer (Pas-de-Calais);Saint-Omer (Pas-de-Calais);t:persName
p02871;;Guillaume de Moëlain;979;;Guillaume de Moëlain;Moëlain;t:persName
p02872;;Guiscard, Graf von Roucy c. Neufchâtel-sur-Aisne, arr. Laon, Aisne;598;;Grafen Guiscard von Roucy (c. Neufchâtel-sur-Aisne, arr. Laon, Aisne);Roucy (c. Neufchâtel-sur-Aisne, arr. Laon, Aisne);t:persName
p02875;;Guiterus aus Ambonnay c. Ay, arr. Reims, Marne;655;;Guiterus aus Ambonnay (c. Ay, arr. Reims, Marne);Ambonnay (c. Ay, arr. Reims, Marne);t:persName
p02876;Guntbold, Erzbischof von Rouen;Guntbold, Erzbischof von Rouen;22;;Guntbold, Erzbischof von Rouen;Rouen;t:persName
;;;1053;;Johannes Poeta;;t:persName
p02879;;Gunterus;703;;Gunterus;;t:persName
p02880;;Gunter von Köln;1130;;Gunter von Köln;Köln;t:persName
;;;108;Aussteller;Johannes’ VIII.;;t:persName
;;;109;Aussteller;Johannes VIII.;;t:persName
;;;110;Aussteller;Johannes VIII.;;t:persName
;;;111;Aussteller;Johannes VIII.;;t:persName
;;;111a;;Johannes VIII.;;t:persName
;;;112;;Johannes (VIII.);;t:persName
;;;112a;Aussteller;Johannes’ (VIII.);;t:persName
;;;112b;Aussteller;Johannes’ (VIII.);;t:persName
;;;112c;Aussteller;Johannes’ (VIII.);;t:persName
;;;114;;Johannes’ (VIII.);;t:persName
;;;126;;Johannes (VIII.);;t:persName
p02881;Gunthar, Bischof von Hildesheim;Gunthar, Bischof von Hildesheim;13;Aussteller;Gunthars, Bischof von Hildesheim;Hildesheim;t:persName
p02882;;Gunthar, Erzbischof von Köln;69;;Gunthar, Erzbischof von Köln;Köln;t:persName
;;;117;;Johannes von Rouen;Rouen;t:persName
p02883;;Gunthar von Köln;67;;Gunthar (von Köln);Köln;t:persName
p02884;;Guy de Chermizy-Ailles, c. Craonne, arr. Laon, Aisne;723;;G(uy) de Chermizy(-Ailles, c. Craonne, arr. Laon, Aisne);Chermizy(-Ailles, c. Craonne, arr. Laon, Aisne);t:persName
;;;159;Aussteller;Johannes X.;;t:persName
;;;160;Empfänger;Johannes (X.);;t:persName
;;;161;Aussteller;Johannes’ X.;;t:persName
;;;162;Empfänger;(Johannes X.);;t:persName
;;;163;Aussteller;Johannes’ X.;;t:persName
;;;164;Empfänger;(Johannes X.);;t:persName
p02885;;H.;917;;H.;;t:persName
p02886;;H., Bürger;702;;Bürger H.;;t:persName
;;;182;Aussteller;Johannes XII.;;t:persName
;;;183;Aussteller;Johannes’ XII.;;t:persName
;;;184;Aussteller;Johannes’ XII.;;t:persName
p02888;;H., Mitbruder;917;;Mitbrüdern H.;;t:persName
;;;186;Aussteller;Johannes XIII.;;t:persName
;;;187;Empfänger;Johannes XIII.;;t:persName
;;;188;Aussteller;Johannes’ XIII.;;t:persName
;;;189;Aussteller;Johannes’ XIII.;;t:persName
p02889;;H., Thesaurar der Kirche von Auxerre, Überbringer;930;;Überbringer H., Thesaurar der Kirche von Auxerre;Auxerre;t:persName
p02890;;H. de Suune Sons-et-Ronchères, c. Marle, arr. Laon, Aisne, Frau;948;;Frau H. de Suune (Sons-et-Ronchères?, c. Marle, arr. Laon, Aisne);Suune (Sons-et-Ronchères?, c. Marle, arr. Laon, Aisne);t:persName
;;;193;Empfänger;Johannes XV.;;t:persName
;;;194;Empfänger;Johannes XV.;;t:persName
;;;195;Aussteller;Johannes XV.;;t:persName
;;;197;Aussteller;Johannes’ XV.;;t:persName
;;;198;Aussteller;Johannes’ (XV.);;t:persName
;;;199;Empfänger;Johannes (XV.);;t:persName
;;;200;Aussteller;Johannes’ XV.;;t:persName
;;;201;Empfänger;Johannes XV.;;t:persName
;;;202;Aussteller;Johannes XV.;;t:persName
;;;204;;Johannes’ XV.;;t:persName
;;;206;Empfänger;Johannes (XV.);;t:persName
p02891;;Ha., Priester, Überbringer;692;;Priester Ha., Überbringer;;t:persName
;;;712;;Johanniter;;t:orgName
;;;713;;Johanniter;;t:orgName
;;;715;;Johanniter;;t:orgName
;;;872;;Johanniter;;t:orgName
p02892;;Haderich;250;;(H)a(derich);;t:persName
o04070;;Jonquery c. Châtillon-sur-Marne, arr. Reims, Marne;962;Ort;Jonquery (c. Châtillon-sur-Marne, arr. Reims, Marne);Jonquery (c. Châtillon-sur-Marne, arr. Reims, Marne);t:placeName
p02893;;Haderich, Eindrinling;258;;(Haderich), den Eindrinling;;t:persName
p02894;Hadrian I., Papst;Hadrian I., Papst;6;Aussteller;Hadrians I.;;t:persName
p02896;Hadrian II., Papst;Hadrian II.;88;Aussteller;Hadrian II.;;t:persName
p02914;Hadrian III., Papst;Hadrian III.;117;Empfänger;Hadrian III.;;t:persName
p02917;Hadrian IV., Papst;Hadrian IV.;484;Aussteller;Hadrians IV.;;t:persName
;;;451;Aussteller;Bischöfe J(oscelin) von Soissons;Soissons;t:persName
;;;464;Empfänger;Joscelin, Bischof von Soissons;Soissons;t:persName
;;;465;Aussteller;Joscelin, Bischof von Soissons;Soissons;t:persName
;;;466;Empfänger;Bischöfe Joscelin von Soissons;Soissons;t:persName
;;;471;;Joscelin, dem Bischof von Soissons;Soissons;t:persName
;;;476;Empfänger;Bischöfe J(oscelin) von Soissons;Soissons;t:persName
p02933;;Haidericus, Sohn;722;;Sohn Haidericus;;t:persName
;;;247;Empfänger;(Joscelin) von Bordeaux;Bordeaux;t:persName
p02934;Haimerich, Kanzler der römischen Kirche;Haimerich, Kanzler der römischen Kirche;420;Empfänger;Haimerich, Kanzler (der römischen Kirche);;t:persName
;;;439;Empfänger;J(oscelin) von Soissons;Soissons;t:persName
;;;440;;Joscelin von Soissons;Soissons;t:persName
;;;448;;Joscelin von Soissons;Soissons;t:persName
;;;475;Empfänger;J(oscelin) von Soissons;Soissons;t:persName
;;;480;Empfänger;(Joscelin) von Soissons;Soissons;t:persName
p02935;;Haimo, Erzbischof von Bourges;231;;(Haimo), Erzbischof von Bourges;Bourges;t:persName
;;;772;Empfänger;(Joscius), Erzbischof von Tours;Tours;t:persName
;;;906;;(Joscius), Erzbischof von Tours;Tours;t:persName
;;;907;Empfänger;Erzbischof (Joscius) von Tours;Tours;t:persName
;;;911;;Erzbischof (Joscius) von Tours;Tours;t:persName
p02937;;Halinard von Lyon;223a;;(Halinard) von Lyon;Lyon;t:persName
p02938;;Halitgar;12;;Halitgar;;t:persName
o04097;;Jouarre;434;Ort;Jouarre;Jouarre;t:placeName
p02941;;Hardouin, Diözesane des Erzbischofs;751;;Hardouin, des Erzbischofs Diözesane;;t:persName
;;;68;;Judith (Tochter Karls des Kahlen);;t:persName
p02942;Hartbert, Erzbischof von Sens;Hartbert, Erzbischof von Sens;2;;Hartbert;;t:persName
p02944;;He., Frau, dessen Stiefmutter;758;;Frau He., dessen Stiefmutter;;t:persName
;;;1127a;;Kaiser;;t:persName
p02945;;Hebdomadar;1007;;Hebdomadar;;t:persName
;;;915;;Kaiser in Konstantinopel;;t:persName
p02946;;Hedenulf, Bischof von Laon;112;;Hedenulf zum Bischof von Laon;Laon;t:persName
p02947;;Hedenulfs, Bischof von Laon;112b;;Hedenulfs, Bischof von Laon;Laon;t:persName
p02952;;Heinrich, Abt;284;;Abt (Heinrich);;t:persName
;;;944;;Kanoniker;;t:persName
;;;945;;Kanoniker;;t:persName
;;;960;;Kanoniker;;t:persName
;;;1097;;Kanonikern;;t:persName
;;;1115a;;Mitkanonikers;;t:persName
p02953;;Heinrich, Abt von Hautecombe, cne Saint-Pierre-de-Curtille, c. Ruffieux, arr. Chambéry, Savoie;531;;(Heinrich), Abt (von Hautecombe, cne Saint-Pierre-de-Curtille, c. Ruffieux, arr. Chambéry, Savoie);Hautecombe, cne Saint-Pierre-de-Curtille, c. Ruffieux, arr. Chambéry, Savoie);t:persName
p02955;;Heinrich, Archidiakon von Senlis;805;;Heinr(ichs), des Archidiakons von Senlis;Senlis;t:persName
p02956;;Heinrich, Bischof von Beauvais;480;;Heinrich, Bischof von Beauvais;Beauvais;t:persName
p02957;Heinrich, Bischof von Lüttich;Heinrich, Bischof von Lüttich;304;;Bischof (Heinrich) von Lüttich;Lüttich;t:persName
p02958;;Heinrich, Bischof von Senlis;805;;Bischof (Heinrich) von Senlis;Senlis;t:persName
p02961;Heinrich, Bischof von Toul;Heinrich, Bischof von Toul;446;Empfänger;H(einrich), Bischof von Toul;Toul;t:persName
p02963;;Heinrich, bisher Bischof von Beauvais;510;;Heinrichs, bisher Bischofs von Beauvais;Beauvais;t:persName
p02966;;Heinrich, Châtelain von Vitry-en-Perthois;1069;;Heinrich, Châtelain von Vitry(-en-Perthois);Vitry(-en-Perthois);t:persName
p02967;;Heinrich, Châtelain von Vitry-en-Perthois, c. et arr. Vitry-le-François, Marne;835;;(Heinrich), Châtelain von Vitry(-en-Perthois, c. et arr. Vitry-le-François, Marne);Vitry(-en-Perthois, c. et arr. Vitry-le-François, Marne);t:persName
p02968;;Heinrich, ehemaliger Bischof von Lüttich;712;;Heinrich, dem ehemaligen Bischof von Lüttich;Lüttich;t:persName
p02972;Heinrich, Erzbischof von Reims;Heinrich, Erzbischof von Reims;594;Empfänger;H(einrich, Erzbischof von Reims;Reims;t:persName
p03463;Heinrich, Erzbischof von Sens;Heinrich, Erzbischof von Sens;433;Empfänger;H(einrich), Erzbischof von Sens;Sens;t:persName
p03465;;Heinrich, Graf der Champagne;524;;des Grafen Hein(rich von der Champagne;Champagne;t:persName
p03468;;Heinrich, Graf von Champagne;908;;Grafen Heinrich (von Champagne;Champagne;t:persName
p03470;;Heinrich, Graf von Grandpré arr. Vouziers, Ardennes;714;;Grafen Henri de Grandpré (arr. Vouziers, Ardennes);Grandpré (arr. Vouziers, Ardennes);t:persName
p03471;;Heinrich, Graf von Namur;552;;Graf (Heinrich) von Namur;Namur;t:persName
p03472;;Heinrich, Graf von Troyes;520;;Graf Heinrich (von Troyes;Troyes;t:persName
;;;1065;;Kanoniker der Kirche von Laon;Kirche von Laon;t:persName
p03482;;Heinrich, Kardinal;514;;Kardinäle Hein(rich);;t:persName
p03484;Heinrich, Kardinalpriester von Santi Nereo ed Achilleo;Heinrich, Kardinalpriester von Santi Nereo ed. Achilleo;597;;Hein(rich), Kardinalpriester von Santi Nereo ed. Achilleo;Santi Nereo ed. Achilleo;t:persName
p03486;;Heinrich, Kardinalpriester von Santi Nereo et Acchilleo;511;Aussteller;Heinrichs, Kardinalpriester von Santi Nereo et Acchilleo;Santi Nereo et Acchilleo;t:persName
p03487;;Heinrich, Kardinal und Legat;515;;Kardinäle und Legaten Heinrich;;t:persName
p03488;;Heinrich, König von England;933;;Hein(rich), König von England;England;t:persName
p03490;;Heinrich, miles von Pringy c. et arr. Vitry-le-François, Marne;595;;Heinrich, miles von Pringy (c. et arr. Vitry-le-François, Marne);Pringy (c. et arr. Vitry-le-François, Marne);t:persName
p03491;;Heinrich, Nachfolger des Abtes;1133;;Nachfolger des Abtes, (Heinrich);;t:persName
p03492;;Heinrich, Wilhelm, Erzbischof von Reims;1064;Empfänger;(Heinrich?, Wilhelm?), Erzbischof von Reims;Reims;t:persName
p03495;;Heinrich I., König;241;;Königs (Heinrichs I.);;t:persName
p03496;;Heinrich II., Graf von Grandpré arr. Vouziers, Ardennes;542;;Grafen (Heinrich II.) von Grandpré (arr. Vouziers, Ardennes);Grandpré (arr. Vouziers, Ardennes);t:persName
p03498;;Heinrich II., König;928;;König Heinrich II.;;t:persName
p03499;;Heinrich V., Kaiser;392;;Kaiser Heinrich V.;;t:persName
p03502;;Heinrich V., König;408;;König Heinrich (V.);;t:persName
p03503;;Heinrich von Frankreich, Elekt von Beauvais;478;;Heinrichs von Frankreich, Elekt von Beauvais;Beauvais;t:persName
p03504;;Heinrich von Grandpré;840;;Heinrich von Grandpré;Grandpré;t:persName
p03505;;Heinrich von Grandpré arr. Vouziers, Ardennes;706;;Heinrich von Grandpré (arr. Vouziers, Ardennes);Grandpré (arr. Vouziers, Ardennes);t:persName
p03506;;Heinrich von Heiltz in Recy c. et arr. Châlons-en-Champagne, Marne;1069;;Heinrich von Heiltz in Recy (c. et arr. Châlons-en-Champagne, Marne);Heiltz in Recy (c. et arr. Châlons-en-Champagne, Marne);t:persName
p03507;;Heinrich von Lüttich;476;Empfänger;H(einrich) von Lüttich;Lüttich;t:persName
p03509;;Heinrich von Pisa;582;Empfänger;Hein(rich von Pisa;Pisa;t:persName
p03511;;Heinrich von Senlis;927;;(Heinrich) von Senlis;Senlis;t:persName
p03512;;Heinrich von Sens;422;;(Heinrich) von Sens;Sens;t:persName
p03516;Heinrich, Bischof von Troyes;Heinrich von Troyes;475;Empfänger;H(einrich) von Troyes;Troyes;t:persName
p03517;;Helduin, Thesaurar von Saint-Frambourg in Senlis ibid.;1032;;Held(uin), Thesaurar von Saint-Frambourg in Senlis (ibid.);Saint-Frambourg in Senlis (ibid.);t:persName
p03518;;Helinand, Bischof von Laon;267;;Helinand, (Bischof von Laon;Laon;t:persName
p03524;;Helvidis de Sonunt, Witwe;848;;Witwe Helvidis de Sonunt;Sonunt;t:persName
p03525;;Helwide, Priorin von Bourbourg;1012a;;Helwide, Priorin von Bourbourg;Bourbourg;t:persName
p03526;;Hemardus;722;;Hemardus;;t:persName
p03527;;Hen. de Teir;495;;Hen. de Teir;;t:persName
;;;786;;Kanoniker von Saint-Géry;Saint-Géry;t:persName
p03528;;Hengenbert;647;;Hengenbert;;t:persName
p03529;;Henri, Bischof von Senlis;1053;;Bischof (Henri) von Senlis;Senlis;t:persName
p03530;;Henricus;796;;Hen(ricus);;t:persName
p03531;;Henricus, Subdiakon;936;;Subdiakon Hen(ricus);;t:persName
p03532;;Her., Überbringer;694;;Überbringers Her.;;t:persName
p03534;Herard, Erzbischof von Tours;Herard, Erzbischof von Tours;73;Empfänger;Herard, Erzbischof von Tours;Tours;t:persName
;;;1132;;Kanonikern von Saint-Pierre-au-Marché in Laon;Saint-Pierre-au-Marché in Laon;t:persName
p03535;;Herbert;387;;Herbert;;t:persName
p03536;;Herbert, Archidiakon;416;Empfänger;Archidiakone H(erbert);;t:persName
p03537;Herbert, Archidiakon in Thérouanne;Herbert, Archidiakon in Thérouanne;386;;Herbert, Archidiakon in Thérouanne;Thérouanne;t:persName
p03538;Herbert, Bischof von Lisieux;Herbert, Bischof von Lisieux;224;Empfänger;Bischof (Herbert) von Lisieux;Lisieux;t:persName
p03539;;Herbertus, Kanoniker aus Soissons;861;;Herbertus, Kanoniker aus Soissons;Soissons;t:persName
;;;1120b;;Kanonikern von Saint-Pol-sur-Ternoise;Saint-Pol-sur-Ternoise;t:persName
;;;1120e;;Kanonikern von Saint-Pol-sur-Ternoise;Saint-Pol-sur-Ternoise;t:persName
p03540;;Herbertus aus Châlons-en-Champagne;771;;Herbertus aus Châlons-en-Champagne;Châlons-en-Champagne;t:persName
p03541;;Heresendis, Ehefrau;636;;Ehefrau Heres(endis);;t:persName
p03542;;Heribert der Jüngere, Graf von Troyes;195;;Grafen Heribert (des Jüngeren von Troyes;Troyes;t:persName
p03543;Heribert II., Graf des Vermandois;Heribert II., Graf des Vermandois;162;Aussteller;Heribert (II., Graf des Vermandois;Vermandois;t:persName
p03544;;Heriland, Bischof von Thérouanne;148;;Heriland, Bischof von Thérouanne;Thérouanne;t:persName
p03546;;Herilands, Bischof von Thérouanne;149;;Herilands, Bischof von Thérouanne;Thérouanne;t:persName
p03547;;Herimar von Saint-Remi;223a;;(Herimar) von Saint-Remi;Saint-Remi;t:persName
p03548;Heriveus, Erzbischof von Reims;Heriveus, Erzbischof von Reims;156;Empfänger;(Heriveus), Erzbischof von Reims;Reims;t:persName
p03552;;Herluin, Kanoniker in Reims;737;;Herl(uin), Kanoniker in Reims;Reims;t:persName
;;;634;;Kapellänen von Laon;Laon;t:persName
;;;635;;Kapelläne von Laon;Laon;t:persName
p03553;;Herm., Priester;796;;Priester Herm.;;t:persName
;;;567;;Kapellanie Maceium;Maceium;t:orgName
p03554;;Hermann;130;;Hermann;;t:persName
p03555;;Hermann, Erzbischof von Köln;130;;Hermann, Erzbischof von Köln;Köln;t:persName
p03558;;Hermann, Graf von Winzenburg;392;;Hermann, Graf von Winzenburg;Winzenburg;t:persName
p03559;;Herr Gobert dApremont c. Saint-Mihiel, arr. Commercy, Meuse;984;;Herr G(obert) d’Apremont (c. Saint-Mihiel, arr. Commercy, Meuse);d’Apremont (c. Saint-Mihiel, arr. Commercy, Meuse);t:persName
p03560;;Herrn Anselme de Possesse c. Heiltz-le-Maurupt, arr. Vitry-le-François, Marne;977;;Herrn Anselme de Possesse (c. Heiltz-le-Maurupt, arr. Vitry-le-François, Marne);Possesse (c. Heiltz-le-Maurupt, arr. Vitry-le-François, Marne);t:persName
;;;1079g;;Kapelle von Kooigem;Kooigem;t:orgName
p03561;;Herrn Arnulf;191;;Herrn (Arnulf);;t:persName
p03562;;Herrn Papst;191;;Herrn Papst;;t:persName
p03563;;Hersendis, edle Frau;615;;edlen Frau Hersendis;;t:persName
p03564;;Hersendis, Ehefrau;662;;Ehefrau Hersendis;;t:persName
p03565;;Hersendis, Frau;621;;Frau Hersendis;;t:persName
p03567;;Hersendis, Witwe;605;;Witwe Hersendis;;t:persName
p03568;;Herueus, Priester;541;;Priester Herueus;;t:persName
p03569;;Herveus;1062;;Herveus;;t:persName
p03570;Herveus, Abt von Marmoutier;Herveus, Abt von Marmoutier;1097;Empfänger;(Herveus), Abt von Marmoutier;Marmoutier;t:persName
;;;317;;Kardinalbischöfe;;t:persName
p03573;;Herveus, Domdekan von Paris;1120a;Empfänger;Domdekan H(erveus) von Paris;Paris;t:persName
;;;318;;Kardinälen;;t:persName
;;;348;;Kardinäle;;t:persName
;;;349;;Kardinäle;;t:persName
;;;414;;Kardinäle;;t:persName
;;;501;;Kardinäle;;t:persName
;;;537;;Kardinäle;;t:persName
;;;557;;Kardinälen;;t:persName
;;;558;;Kardinäle;;t:persName
;;;579;;Kardinäle;;t:persName
;;;624;;Kardinälen;;t:persName
;;;628;;Kardinälen;;t:persName
;;;805;;Kardinälen;;t:persName
;;;904;;Kardinäle;;t:persName
;;;1114;;Kardinälen;;t:persName
;;;1130;;Kardinäle;;t:persName
p03574;;Herveus, Kleriker;1058;;H(erveus), einem Kleriker;;t:persName
p03576;;Herzog Gottfried;237;;Herzog (Gottfried);;t:persName
p03577;;Herzog von Brabant;685;;Herzog von Brabant;Brabant;t:persName
;;;144;;Karl (dem Einfältigen);;t:persName
;;;145;;Karl (dem Einfältigen);;t:persName
;;;151;;Karl (dem Einfältigen);;t:persName
p03578;;Hescelin, Kleriker von Wizernes c. et arr. Saint-Omer, Pas-de-Calais;648;;Hescel(in), Kleriker von Wizernes (c. et arr. Saint-Omer, Pas-de-Calais);Wizernes (c. et arr. Saint-Omer, Pas-de-Calais);t:persName
p03579;;Hilardus, Priester;892;;Priester Hilardus;;t:persName
p03580;;Hilardus, Überbringer;808;;Hilardus, Überbringer;;t:persName
;;;114;;Karl (dem Kahlen);;t:persName
p03581;;Hilarius;304;;Hilarius;;t:persName
p03582;;Hildbrand, Archidiakon;270;;Archidiakon Hildbrand;;t:persName
;;;27;Aussteller;König Karls des Kahlen;;t:persName
;;;30;;Bruder Karl (dem Kahlen);;t:persName
;;;50;;Bruder Karl (der Kahle);;t:persName
;;;62;;König Karl (den Kahlen);;t:persName
;;;65;;König Karl (den Kahlen);;t:persName
;;;69;;König Karl (den Kahlen);;t:persName
;;;71;;König Karl (der Kahle);;t:persName
;;;94;;König Karl (der Kahle);;t:persName
;;;101;Aussteller;König Karls des Kahlen;;t:persName
p03583;;Hildebrand;232;;Hildebrands;;t:persName
;;;121;;Kaiser (Karl III.);;t:persName
p03585;;Hildebrand, Archidiakon, später Gregor VII.;268;;Archidiakons Hildebrand (der spätere Gregor VII.);;t:persName
;;;118;;König Karlmanns;;t:persName
p03586;;Hildegar;258;;Hi(ldegars);;t:persName
p03587;Hildegar, Bischof von Beauvais;Hildegar von Beauvais;171;Aussteller;Hildegar von Beauvais;Beauvais;t:persName
p03588;;Hildegerius, Bischof;254;;Bischof (Hildegerius);;t:persName
p03589;;Hilmerad, Bischof von Amiens;80;;Hilmerad, den Bischof von Amiens;Amiens;t:persName
p03590;;Hincmar;22;;Hincmar;;t:persName
;;;404;;Kathedrale;;t:orgName
p03600;;Hincmar, Bischof von Laon;90;;Hincmar, Bischof von Laon;Laon;t:persName
p03608;Hinkmar, Erzbischof von Reims;Hincmar, Erzbischof von Reims;24;Empfänger;Hincmar, (Erzbischof von Reims?);Reims?;t:persName
p03694;;Hincmar, Mönch aus Saint-Denis;29;;Mönch Hincmar aus Saint-Denis;Saint-Denis;t:persName
p03695;;Hincmar von Laon;99a;;Hincmars von Laon;Laon;t:persName
p03698;;Hincmar zum Erzbischof von Reims;28;;Hincmars zum Erzbischof von Reims;Reims;t:persName
p03699;Hinkmar, Bischof von Laon;Hinkmar von Laon;99b;;Hinkmar von Laon;Laon;t:persName
p03700;;Hintersasse von Saint-Remi;781;;Hintersasse von Saint-Remi;Saint-Remi;t:persName
p03701;Cäcilia, Heilige;Cäcilia, hl.;13;;hl. Cäcilia;;t:persName
p03702;;hl. Fuscian;808;;hl. Fuscian;;t:persName
p03703;;hl. Jakobus;557;;hl. Jakobus;;t:persName
;;;745;;Kirche;;t:persName
p03707;;hl. Johannes;556;;hl. Johannes;;t:persName
p03708;;hl. Letus;353;;hl. Letus;;t:persName
p03709;;hl. Lukas;426;;hl. Lukas;;t:persName
p03714;;hl. Memmius;266;;hl. Memmius;;t:persName
p03715;;hl. Michael;309;;hl. Michael;;t:persName
p03716;;hl. Petrus;234;;hl. Petrus;;t:persName
p03735;;hl. Vincenz;591;;hl. Vincenz;;t:persName
p03736;;Hodeardis von Maidières, Frau;888;;Frau Hodeardis von Maidières;Maidières;t:persName
p03738;;Hodeardis von Maidières c. Pont-à-Mousson, arr. Nancy, Meurthe-et-Moselle, Frau;887;;Frau Hodeardis von Maidières (c. Pont-à-Mousson, arr. Nancy, Meurthe-et-Moselle);Maidières (c. Pont-à-Mousson, arr. Nancy, Meurthe-et-Moselle);t:persName
p03739;;Hodierus;867;;Hodierus;;t:persName
;;;959;;;;t:orgName
p03740;;Holduinus, Vidame der Kirche von Reims;740;;Holduinus, Vidame der Kirche von Reims;Reims;t:persName
p03741;;Honoratus, Bischof von Beauvais;155;;Honoratus, Bischof von Beauvais;Beauvais;t:persName
p03742;Honorius II., Papst;Honorius II.;419;Aussteller;Honorius’ II.;;t:persName
p03746;;Hörige;756;;Hörige;;t:persName
